user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
norway|OSL_T_32,Weekday,16,19,1,0.224,0.2973,true,0.061,-0.0368,false,
norway|OSL_T_32,Weekday,21,20,1,0.1939,0.4409,true,-0.1635,-0.1596,false,
georgia|GT_47158353,Weekday,18,38,1,0.2377,0.0278,false,-0.2245,-0.1977,false,
georgia|GT_47158353,Weekday,19,19,1,0.4333,0.0016,false,0.2935,0.1404,false,0.3302
georgia|GT_10909503,Weekday,11,28,1,0.3375,0.0035,false,0.159,0.1845,false,
georgia|GT_10909503,Weekday,12,17,1,0.3158,0.0677,true,-0.0765,-0.0784,false,
norway|OSL_S_KT65,Weekday,15,17,1,0.2,0.5057,true,0.5925,0.5236,true,
norway|OSL_S_KT65,Weekday,19,16,1,0.1116,0.9886,true,0.0328,0.0353,false,
norway|OSL_S_KT65,Weekday,20,19,1,0.1579,0.7319,true,-0.138,0.0,false,
norway|OSL_S_KT65,Weekday,21,17,1,0.2303,0.3291,true,-0.1553,0.3066,true,
norway|OSL_S_KT65,Weekday,22,21,1,0.1661,0.6098,true,0.4716,0.3625,true,
norway|OSL_S_KT65,Weekday,23,20,1,0.1362,0.8528,true,-0.4166,-0.1519,true,
korea|KR_U463,Weekday,7,27,1,0.1948,0.2588,true,0.1954,0.5347,true,
korea|KR_U463,Weekday,8,29,1,0.105,0.9074,true,0.1092,0.385,true,
korea|KR_U463,Weekday,11,19,1,0.2689,0.1288,true,-0.0224,0.08,false,
korea|KR_U463,Weekday,12,16,1,0.1635,0.7866,true,-0.1684,-0.0162,false,
korea|KR_U280,Weekday,1,16,1,0.1694,0.749,true,0.2428,0.1324,false,
norway|ASK_Plass67,Weekday,11,23,1,0.138,0.7749,true,0.1548,0.2951,false,
norway|ASK_Plass67,Weekday,12,30,1,0.1536,0.4803,true,-0.0947,0.0616,false,
norway|ASK_Plass67,Weekday,13,34,1,0.2011,0.1289,true,0.2501,0.3406,true,
