user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
norway|TRO_Plass45,Weekday,16,24,1,0.1947,0.3242,true,-0.1003,0.1953,false,
norway|TRO_Plass45,Weekday,17,18,1,0.1802,0.6036,true,-0.2374,-0.1208,false,
norway|TRO_Plass45,Weekday,18,17,1,0.2085,0.4521,true,0.1032,0.0196,false,
norway|BAR_Plass126,Weekday,17,102,1,0.3527,0.0,false,-0.1012,-0.1577,false,
norway|BAR_Plass126,Weekday,18,96,1,0.1347,0.0636,true,0.0298,-0.0644,false,
norway|OSL_S_KT138,Weekday,21,25,1,0.138,0.7292,true,0.0897,0.1246,false,
kim|KR_401,Weekday,17,30,1,0.1025,0.9116,true,0.1429,-0.0211,false,
norway|TRO_Plass41,Weekday,12,16,1,0.2662,0.2076,true,0.9557,0.2399,true,
norway|TRO_Plass41,Weekday,13,22,1,0.259,0.1051,true,0.0407,-0.2169,false,
norway|TRO_Plass41,Weekday,14,17,1,0.3254,0.055,true,0.557,0.2344,true,
norway|TRO_Plass41,Weekday,15,19,1,0.189,0.5069,true,-0.2288,-0.2291,false,
norway|TRO_Plass41,Weekday,16,18,1,0.1154,0.9705,true,0.3407,0.1354,true,
norway|TRO_Plass41,Weekday,17,22,1,0.2427,0.1507,true,0.8536,0.5113,true,
norway|TRO_Plass41,Weekday,18,25,1,0.1992,0.2757,true,0.0882,0.1358,false,
norway|TRO_Plass41,Weekday,19,30,1,0.1289,0.7033,true,0.1856,0.1962,false,
norway|TRO_Plass41,Weekday,20,17,1,0.2051,0.4733,true,-0.3473,-0.1484,true,
norway|TRO_Plass41,Weekday,21,19,1,0.1025,0.9885,true,-0.414,0.1596,true,
norway|TRO_Plass41,Weekday,22,24,1,0.1577,0.5909,true,-0.0699,0.0478,false,
kim|KR_1226,Weekday,18,20,1,0.1668,0.6352,true,0.0517,0.006,false,
norway|OSL_S_KT59,Weekday,1,21,1,0.1171,0.9361,true,0.2867,0.2416,false,
norway|OSL_S_KT59,Weekday,15,25,1,0.2718,0.0502,true,0.6974,0.4201,true,
norway|OSL_S_KT59,Weekday,23,22,1,0.1258,0.878,true,0.2229,0.3457,true,
norway|OSL_S_KT59,Weekday,24,39,1,0.1666,0.2311,true,0.1872,0.0997,false,
norway|OSL_S_KT77,Weekday,15,21,1,0.2931,0.0546,true,0.6515,0.4727,true,
norway|OSL_S_KT77,Weekday,16,27,1,0.2206,0.1454,true,0.0756,-0.0122,false,
norway|OSL_S_KT77,Weekday,17,23,1,0.1691,0.528,true,0.4642,0.3953,true,
norway|OSL_S_KT77,Weekday,18,16,1,0.1091,0.9913,true,0.158,0.2176,false,
norway|OSL_S_KT77,Weekday,19,27,1,0.1207,0.8274,true,0.258,0.2295,false,
kim|KR_1433,Weekday,9,17,1,0.2366,0.298,true,0.3925,0.6225,true,
norway|BAR_2_Plass12,Weekday,16,19,1,0.2131,0.3553,true,0.1705,0.0158,false,
norway|BAR_2_Plass12,Weekday,18,25,1,0.176,0.4225,true,0.2491,0.5833,true,
norway|BAR_2_Plass12,Weekday,19,16,1,0.1202,0.9751,true,0.1819,0.4706,true,
norway|BAR_2_Plass12,Weekday,20,15,1,0.1787,0.725,true,0.1375,0.0286,false,
norway|BAR_2_Plass12,Weekday,21,23,1,0.1317,0.8207,true,0.1802,0.2717,false,
norway|BAR_2_Plass12,Weekday,22,21,1,0.1572,0.6785,true,0.2093,0.1929,false,
gist|KR_U127,Weekday,15,15,1,0.1291,0.9641,true,0.5733,0.3289,true,
gist|KR_U127,Weekday,16,33,1,0.1298,0.6366,true,0.2494,0.168,false,
gist|KR_U127,Weekday,17,19,1,0.153,0.7666,true,0.3505,-0.0369,true,
